Buyer,Country,Invoices,USD,GTIP,Description,Email,Website,Phone
MBN GMBH,ALMANYA,54,"$848,959",Profiller,ALM PROFİL} | ALM.PROFİL.BOYALI;ALM.PROFİL.BOYALI;ALM./PROFİL.ELOKSAL.MAT | ALM.PROFİL.BOYALI;ALM.PROFİL.BOYALI;ALM./PROFİL.ELOKSAL.MAT;ALM.PROFİL.HAM | ALM.PROFİL} | ALUMINYUM }PROFIL | ALÜMİNYUM PROFİL | ALÜMİNYUM }PROFİL,,,
PROFILTECHNIK LEMMLER GMBH,ALMANYA,39,"$848,006",Profiller | İçi boş profiller,ALUMINYUM ALAŞIMLARINDAN DİĞER PROFILLER (BOYASIZ) | ALÜMİNYUM ALAŞIMLARI-NDAN PROFİLLER,,,
MİRA VERANDA EN KLUSBEDRIJF,HOLLANDA,35,"$847,901",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL (BO-YASIZ) | LOCK*_LOCK | ZIP ACCECUARY SET*ZI-P ACCECUARY SET,,,
SCREENEX ALUMINIUM LTD,İSRAİL,20,"$847,792",Profiller,ALÜMİNYUM PROFİL | ALÜMİNYUM PROFİL(BOYASIZ) | ALÜMİNYUM PROFİL- BO-YASIZ | ALÜMİNYUM PROFİL- BOYASIZ | ALÜMİNYUM PROFİLLER -(BOYASIZ) | ALÜMİNYUM PROFİLLER(BOYASIZ) | ALÜMİNYUM }PROFİL,,,
DAJLAT ALASIL GENERAL TRADING CO.,IRAK,31,"$847,337",Profiller,ALÜMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL(ELO-KSALLI),,https://www.facebook.com/people/شركة-دجلة-الاصيل-للمحجرات-التركية/100038066864977/,"9647710066080, 9647704842839"
BAU SYSTEME SERVİCE GMBH,ALMANYA,26,"$845,563",Profiller,ALUMINYUM PROFIL / B-OYASIZ,,,
FWM FEINWERKMECHANIK BUNTKIEL,ALMANYA,29,"$844,312",Profiller,ALÜMİNYUM PROFİL (15-18 AD) | ALÜMİNYUM PROFİL (25-07 AD) | ALÜMİNYUM PROFİL (27-76 AD) | ALÜMİNYUM PROFİL (42-09 AD) | ALÜMİNYUM PROFİL (67-78 AD),,,
SMART PROFIL OOD,BULGARİSTAN,35,"$841,975",Profiller,"ALÜMİNYUM PROFİL BOY-ALI | ALÜMİNYUM PROFİL BOYALI,ALÜMİNYUM PROFİL/ ELOKSALLI | ALÜMİNYUM PROFİL PRES,ALÜMİNYUM PROFİL B/OYALI,ALÜMİNYUM PROFİL AHŞAP DESEN BOYALI | ALÜMİNYUM }PROFİL",,,
INTAL PROFILE USA LLC,BIRLEŞIK DEVLETLER,53,"$841,810",Profiller,ALÜMİNYUM PROFİL | ALÜMİNYUM }PROFİL | ELOKSAL KAPLAMALI PR-OFİL | ELOKSAL KAPLAMALI PROFİL,,,
ALGANDOUZ FACTORY,LİBYA,31,"$837,981",Profiller | İçi boş profiller,"ALUSEL GC.407 EXTRÜZYON-MİDİ (NORMAL)-ÇİFT FİTİLLİ DİKMELİ U BEYAZ,ALUSEL GC.407 EXTRÜZYON-MİDİ (NORMAL)-ÇİFT FİTİLLİ DİKMELİ U KAHVE,ALUSEL GC.407 EXTRÜZYON-MİDİ (NORMAL)-ÇİFT FİTİLLİ DİKMELİ U A.GRİ | ALÜMİNYUM AÇIK KUTU -PROFİLİ 165 MM | ALÜMİNYUM AÇIK KUTU -PROFİLİ 205 MM | ALÜMİNYUM PANJUR PRO-FİLİ 55 MM",,"http://www.algandouz.ly/, http://www.algandouz.ly/ar/","+218 91-1240324, 0922723374, 0911240324, 0754693658, 03734115657"
PLAMEN YORDANOV,BELÇİKA,24,"$836,771",Profiller,RENKLİ ALÜMİNYUM PROFİL,,,
W HARTMAN CO GMBH,ALMANYA,26,"$835,896",İçi boş profiller,ALUMINIUM }PROFILES,,,
IZZADEEN COMPANY/İHSAN IZZADEEN,IRAK,24,"$835,106",Profiller,ALÜMİNYUM }PROFİL,"izzadincompany@gmail.com, info@babalsroor.com, info@izzadinco.com",https://www.izzadinco.com,"9647504485077, 9647504485076, 9647704452401, 9647504458866, 9647504528652, 9647504555856"
ADAMET-NIEMET SP. Z O.O.,POLONYA,32,"$834,437",Profiller | Çubuklar | İçi boş profiller,ALUMINYUM PROFIL / B-OYASIZ | ALUMİNYUM PROFİL / B-OYASIZ | ALÜMİNYUM  PROFİL   -( BOYASIZ ) | ALÜMİNYUM PROFİL PRE-S | ALÜMİNYUM PROFİL(BOY-ASIZ),,,
2X3 SA,POLONYA,63,"$833,724",Profiller,ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM PROFİL(BOY-ASIZ),"biuro@2x3.pl, avsolutions@2x3.pl",https://www.2x3.pl,48957841100
EEPOS GMBH,ALMANYA,57,"$832,290",Profiller | İçi boş profiller,"ALUMINYUM PROFIL (BO-YASIZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/",,,
RECONAL SISTEMI DOO.,SIRBİSTAN,37,"$832,056",Profiller,"09 MM CAM ÇITASI BUTİLLİ 5 MT-09.5MM CAM ÇITASI 5 MT-11.5MM CAM ÇITASI 5 MT-11.5MM CAM ÇITASI 5 MT B+ÜKÜLEBİLİR-12 MM CAM ÇITASI BUTİLLİ 5 MT-14 MM CAM | ALM.PROFIL BOYA // BEYAZ BOYALI / RAL9016-P10 / İBA PE58AT 9016 189GLX,ALM.PROFIL BOYA // RENKLİ BOYALI 1 / RAL7016-M20 / AKZO NOBEL SLV164,24MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /RENKLİ BOYALI 1-RAL7016-M20 AKZO NOBEL SLV164,22MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /RENKLİ BOYALI 1-RAL7016-M20 AKZO NOBEL SLV164,24MM PVC FITIL | ALM.PROFIL ELOKSAL //  / AK-M5  MAT NATUREL // AK-M5 // 10 MİK,ALM.PROFIL ELOKSAL //  / AK-P5  PARLA+K NATUREL // AK-P5 // 10 MİK,ALM.PROFIL PRES // | ALME2.PROF4BIL BOYA21 // BEYAZ8A BOYALI / R2 AL9016-P10 / İBA PE58AT 9016 189GLX,ALM.PROFIL BOYA // RENKLİ BOYALI 1 / RAL7016-M20 / AKZO NOBEL SLV164,22MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /BEYAZ BOYALI-RAL9016-P10 İBA PE58AT 9016 189GLX,24MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /BEYAZ BOYALI-RAL9016-P10 İBA PE58AT 9016 189GLX,22MM PVC F | ALME2.PROF4BIL BOYA21 // RENKL8Aİ BOYALI 12  / RAL7016-M20 / AKZO NOBEL SLV164,ALM.PROFIL BOYA // BEYAZ BOYALI / RAL9016-P10 / İBA PE58AT 9016 189GLX,24MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /BEYAZ BOYALI-RAL9016-P10 İBA PE58AT 9016 189GLX,24MM PVC FITILLI / ISI YALITIMLI / BOYA ALM.PROFIL /RENKLİ BOYALI 1-RAL7016-M20 AKZO NOBEL SLV164,22MM PVC FIT | ALME2.PROF4BIL ELOK21SAL //  /8A AK-P5  PAR2 LAK NATUREL // AK-P5 // 10 MİK,ALM.PROFIL ELOKSAL //  / AK-M5  MA+T NATUREL // AK-M5 // 10 MİK,ALM.PROFIL ELOKSAL //  / AK-M5  MAT NATUREL // AK-M5 // 60 MİK | ALME2.PROF4BIL PRES21 //,22MM 8APOLIAMIT FI2 TILLI / ISI YALITIMLI / PRES ALM.PROFIL,24MM POLIAMIT FITILLI / ISI YALITIMLI / PRES ALM.PROFIL,20MM POLIAMIT FITILLI / ISI YALITIMLI / PRES ALM.PROFIL,14,8MM POLIAMIT FITILLI / ISI YALITIMLI / PRES ALM.PROFIL,12MM POLIAMIT FITILLI / ISI YALITIMLI / PRES ALM.PROFIL | ALUMINYUM ÇITA BUTIL-LI",info@reconal.rs,"http://reconal.rs/, http://www.reconal.rs/kontakt.html","018560975, +38118560975"
WOLFCRAFT SK S.R.O,SLOVAKYA,28,"$830,373",Profiller,ALUMINYUM PROFILLER -(BOYASIZ)-36540 ADET | ALÜMİNYUM PROFİL (23-628 AD) | ALÜMİNYUM PROFİL (34-122 AD) | ALÜMİNYUM PROFİL (37812 AD) | ALÜMİNYUM PROFİL (64-880 AD),,,
ALETHAD ALARABI FACTORY FOR ALUMINUM,LİBYA,8,"$827,747",Profiller,BOYALI ALÜM.PROFİL  -(FİTİLSİZ) | ELOKSALLI ALÜM.PROFİ-L (FİTİLSİZ),info@alethad.ly,"https://alethad.ly, https://alarabia-alu.com/en/libya/","+218-91-764-7372, +218-91-210-0132, +218-91-1 18-1 180, +337-53-251-705, +218-92-6504214"
ALUDENİZALP ALUMINIUM SAN. LTD. ŞTİ.,KUZEY KIBRIS TÜRK CUMHURİYETİ,48,"$826,395",Profiller,"AL�E2�MİN4BYUM PRO21FİL BEYA8AZ,ALÜMİNY2 UM PROFİL BEYAZ AVR.10-18 MM ISI YALITIMLI,ALÜMİNYUM PROFİL BEYAZ AVR.19-24 MM ISI YALITIMLI,ALÜMİNYUM PROFİL ELOKSAL M.R.AVR.10-18MMISIYALITIM,ALÜMİNYUM PROFİL ELOKSAL M.R.AVR.19- | AL�E2�MİN4BYUM PRO21FİL Çİ8AFT RENK AVR2 .10-18MMISIYALITIMLI,ALÜMİNYUM PROFİL ELOKSAL MAT RENKLİ,ALÜMİNYUM PROFİL PRES,ALÜMİNYUM PROFİL RENKLİ ,ALÜMİNYUM PROFİL RENKLİ AVR.10-18MM ISI YALITIMLI,ALÜMİNYUM PROFİL RENKLİ AV",,,
KHAIRAT ALAMEN FOR GENERAL TRADING LIMITED PRİVATE,IRAK,8,"$825,961",Profiller,ALÜMİNYUM PROFİL(BOY-ALI ) | ALÜMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL(ELO-KSALLI),info@khairatalbahar.com.iq,https://khairatalbahar.com.iq,9647901347692
KLIMS INVEST LLC,UKRAYNA,268,"$824,320",Profiller | İçi boş profiller,"""  3568 ALUMİNYUM PROFİL - 7016 MAT ANTR/ASİT GRİ "" | "" 3563 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3564ALUMİNYUM PROFİL - 7016 MAT ANTRAS/İT GRİ "" | "" 3565 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3566 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3567 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3569RAL ALUMİNYUM PROFİL - 7016 MAT AN/TRASİT GRİ "" | "" 3571 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3572 ALUMİNYUM PROFİL - 7016 MAT ANTRA/SİT GRİ "" | "" 3577 ALÜMİNYUM PRO-FİLİ - PRES "" | "" 3578 ALÜMİNYUM PRO-FİLİ - PRES "" | "" 3581 ALÜMİNYUM PRO-FİLİ - PRES "" | "" 3705ALUMİNYUM PROFİL - 7016 MAT ANTRAS/İT GRİ "" | "" 3706ALUMİNYUM PROFİL - 7016 MAT ANTRAS/İT GRİ "" | ""ALÜMİNYUM PROFİL - W76.FR02- 2 - 9016 P/ARLAK - BEYAZ"" | ""ALÜMİNYUM PROFİL-W76.GB05 - 9016 PARLAK/ BEYAZ"" | ""ALÜMİNYUM PROFİL-W76.SH04-1 - 9016 PARL/AK BEYAZ"" | ""E1155 PROFİL 7016 M-AT - 6,8MT"" | ""E1158 PROFİL 7016 M-AT - 6,8MT"" | ""E1158 PROFİL 9016 P-ARLAK - 6,8MT"" | ""E1159 PROFİL 9016 P-ARLAK - 6,8MT"" | ""E1165 PROFİL 7016 M-AT - 6,5MT"" | ""E1165 PROFİL 9016 P-ARLAK - 6,5MT"" | ""E1167 PROFİL 9016 M-AT - 6,5MT"" | ""E1167 PROFİL 9016 P-ARLAK - 6,5MT"" | ""E1169 PROFİL 7016 M-AT - 6,35MT"" | ""E1169 PROFİL9016 PA-RLAK - 6,35MT"" | ""E1585 PROFİL 7016 M-AT - 6 MT"" | ""W76.JP01 - ALÜMİNYUM PROFİLİ - PRES""/ | ""W76.SH02-1 ALUMİNYUM PROFİL - 7016 MAT /ANTRASİT GRİ"" | ""W76.TH01-1 - ALÜMİNYUM PROFİLİ - PRES""/ | ALÜMİNYUM PROFİL AHŞ-AP KAPLAMA | ALÜMİNYUM PROFİL BOY-ALI | ALÜMİNYUM PROFİL-W76.GB05 - 9016 PARLAK /BEYAZ | ALÜMİNYUM PROFİL-W76.GB06 - 9016 PARLAK /BEYAZ | ALÜMİNYUM PROFİL-W76.MT02- 1RAL - 9016 P/ARLAK BEYAZ | ALÜMİNYUM PROFİL-W76.SH02-1 - 9016 PARLA/K BEYAZ | ALÜMİNYUM PROFİL-W76.SH02-2 - 9016 PARLA/K BEYAZ | ALÜMİNYUM PROFİL-W76.SH04-1 - 9016 PARLA/K BEYAZ | ALÜMİNYUM PROFİL-W76.SH05-1 - 9016 PARLA/K BEYAZ | E1165 PROFİL 7016 MA-T - 6,5MT | E1166 PROFİL 9016 PA-RLAK - 6,8MT | E1167 PROFİL 9016 PA-RLAK - 6,5MT | E1168 PROFİL PRES - -6MT | E1169 PROFİL9016 PAR-LAK - 6,35MT | E1170 ALDOKS ISI CAM ÇITA PROFİL RAL 701/6 MAT - 6MT | E1170 ALDOKS ISI CAM ÇITA PROFİL RAL 901/6 PARLAK - 6MT | E1175 PROFİL 9016 PA-RLAK - 6MT | SİNEKLİK PROFİLİ - 7016 PARLAK ANTRASİT /GRİ - 10 X 20 MM | SİNEKLİK PROFİLİ - 7016 PARLAK ANTRASİT /GRİ - 11 X 32 MM | SİNEKLİK PROFİLİ - 8017 PARLAK KAHVERENG/İ - 10 X 20 MM | SİNEKLİK PROFİLİ - 8017 PARLAK KAHVERENG/İ - 16 X 24 MM | SİNEKLİK PROFİLİ - 9016 PARLAK BEYAZ - 1/0 X 20 MM | SİNEKLİK PROFİLİ - 9016 PARLAK BEYAZ - 1/1 X 32 MM | SİNEKLİK PROFİLİ - 9016 PARLAK BEYAZ - 1/6 X 24 MM | W76.FR02-1 - PROFİLİ- - BEYAZ | W76.FR02-2 - PROFİLİ- - BEYA | W76.FR02-2 - PROFİLİ- - BEYAZ | W76.FR04-1 ALÜMİNYUM PROFİL - PULVER 901/6 P. BEYAZ | W76.FR04-1 PROFİLİ -- BEYAZ | W76.FR04-2 PROFİLİ -- BEYAZ | W76.JP01 - ALÜMİNYUM- PROFİL - PRES | W76.JP01 - ALÜMİNYUM- PROFİLİ - PRES | W76.JP03 - ALÜMİNYUM- PROFİLİ - PRES | W76.SH04-2 ALÜMİNYUM PROFİL - PULVER 901/6 P. BEYAZ",climsinvest@gmail.com,https://opendatabot.ua/c/44760344,"+00000000093, +00000000000, 2785252863, 4476034265, 4000000000, 4476034401"
AEROCOMPACT EUROPE GMBH,AVUSTURYA,87,"$824,106",Profiller | İçi boş profiller,ALÜMİNYUM }PROFİL,office@aerocompact.com,https://www.aerocompact.com/en/contact,+43552422566
ALUPEX SP. Z.O.O,ALMANYA,14,"$823,396",Profiller,"ALUMİNYUM ALAŞIMLARINDAN İÇİ BOŞ PROFİLL/ER (BOYASIZ, ISI YALITIMI İÇERMEYEN) | ALUMİNYUM ALAŞIMLARINDAN İÇİ BOŞ PROFİLL/ER(BOYASIZ,ISI YALITIMI İÇERMEYEN) | ALUMİNYUM ALAŞIMLARINDAN İÇİ BOŞ PROFİLLER(BOYASIZ,ISI YALITIMI İÇERMEYEN)",,,
SERSİM D.T.M. SAN.VE TİC.KOLL.ŞTİ.,KAYSERİ SERBEST BÖLGE,84,"$822,840",Profiller,ALM.PROFİL.ELOKSAL.M-AT | ALM.PROFİL.ELOKSAL.M-AT;ALM.PROFİL.HAM | ALM.PROFİL.ELOKSAL.MAT;ALM.PROFİL.ELOKSA/L.PAR;ALM.PROFİL.ELOKSAL.SAT;ALM.PROFİL.HAM | ALM.PROFİL.ELOKSAL.MAT;ALM.PROFİL.ELOKSA/L.SAT;ALM.PROFİL.HAM | ALM.PROFİL.ELOKSAL.MAT;ALM.PROFİL.HAM;AL/M.PROFİL.ELOKSAL.SAT | ALM.PROFİL.ELOKSAL.S-AT;ALM.PROFİL.HAM | ALM.PROFİL.ELOKSAL.SAT;ALM.PROFİL.HAM | ALM.PROFİL.HAM;ALM.P-ROFİL.ELOKSAL.SAT | ALM.PROFİL} HAM | ALM.PROFİL}.HAM,,,
LOTOS TRADING LTD.,BULGARİSTAN,208,"$821,797",Profiller | İçi boş profiller,"ALÜMİNYUM PROFİL | ALÜMİNYUM PROFİL BOYALI,ALÜMİNYUM PROFİL/ ELOKSALLI | ALÜMİNYUM PROFİL ELO-KSALLI | ALÜMİNYUM PROFİL(BOY-ASIZ) | ALÜMİNYUM PROFİL(BOYASIZ) | ALÜMİNYUM }PROFİL","export@lotostrading.com, s.penev@lotostrading.com, a.tanev@lotostrading.com, lotos_trading@abv.bg, d.dimov@lotostrading.com, office@lotostrading.com",https://lotostrading.com,"+35952390333, +359878684430, +359895464094, +359878955665, +359878684450, +359878685403, +359894303329, +359895464093, +359878730310, +359876453537"
VIEL BG EOOD,BULGARİSTAN,187,"$820,588",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (EL-OKSALLI) | ALÜMİNYUM PROFİL İÇİ BOŞ (ELOKSALLI)/ | ALÜMİNYUM PROFİL İÇİ- BOŞ (BOYALI) | ALÜMİNYUM PROFİL(ELO-KSALLI),vielbg@abv.bg,https://www.business.bg/en/f-14603/viel-bg-eood.html,"0888493337, 0877870077"
SAMEER IBRAHIM MAREE,İSRAİL,5,"$820,224",Profiller,,,,
ALUX GMBH&CO.KG,ALMANYA,85,"$820,045",Profiller,ALUM. PROFIL | ALUMİNYUM }PROFİL,,,
DEFY APPLIANCES (PTY) LTD,GÜNEY AFRİKA CUMHURİYETİ,101,"$817,796",Profiller,ALUMINYUM }PROFIL | ALUMİNYUM PROFİL | ALÜMİNYUM }PROFİL,,,
INTERKOZIJN,HOLLANDA,19,"$815,753",Profiller,ALMİNYUM P}ROFİL,,,
SCHRÖDER GMBH,ALMANYA,78,"$812,623",Profiller,ALUMİNYUM ALAŞIMLARI-NDAN PROFİLLER | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [1120/.00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [1162/8.00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [1640/.00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [200./00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [2692/8.00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [3672/0.00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [600./00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [680./00 MT] | ALUMİNYUM ALAŞIMLARINDAN PROFİLLER [9792/.00 MT] | ALÜMİNYUM PROFİL*553-8 | ALÜMİNYUM PROFİL*553-9 | ALÜMİNYUM PROFİL*L-5-542 | ALÜMİNYUM }PROFİL,,,
ROTH WERKE GMBH,ALMANYA,31,"$809,756",Profiller,601.01.010*ALUMİNİUM- PROFİLE,,,
TECH-INVEST SP. Z.O.O.,POLONYA,12,"$809,518",İçi boş profiller,ALÜMİNYUM PROFİL (BOYASIZ VE FİTİLSİZ)/ | ELOKSALLI ALÜM.PROFİ-L  (FİTİLSİZ) | ELOKSALLI ALÜM.PROFİ-L (FİTİLSİZ),,,
"UAB LINOKSA JANKISKIU STR. 16, VILNIUS, POST CODE:",LİTVANYA,24,"$808,283",İçi boş profiller,ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM PROFİL (ELOKSALLI) [482.00 AD]/,,,
EUYAN ALGHALA COMPANY,IRAK,14,"$805,951",Profiller,ALÜMİNYUM PROFİL REN-KLİ BOYALI,alisare944@gmail.com,https://euyanalghala.iq/,"9647744500900, 9647844500900, 9647826325512"
DN AUTOMOTIVE ITALY S.R.L.,İTALYA,121,"$805,240",Profiller,ALÜMİNYUM PROFİL | ALÜMİNYUM }PROFİL,,,
STE MADYLAK SARL,FAS,10,"$804,450",Profiller,ALÜMİNYUM }PROFİL,madylak@hotmail.com,,"0522916235, 0661461913"
W WİNDOWS AND DOOR MFG,BIRLEŞIK DEVLETLER,11,"$803,153",İçi boş profiller,ALÜMİNYUM PROFİL PRESS,,,
RAMLAH FOR REAL ESTATE İNVESTMENT AND DEVELOPMENT,IRAK,29,"$797,623",Profiller,PUNTO TC-6}0,info@ramlah.co,https://ramlah.co,9647707773286
LUXALU KFT,MACARİSTAN,11,"$796,709",İçi boş profiller,"ALÜMİNYUM PROFİL (BOYASIZ, KAĞIT KAPLANM/AMIŞ,FİTİLSİZ)",luxalu@luxalu.hu,https://luxalu.hu,"+36300704400, +36707434400"
STAF DISTRIBUTION,TUNUS,7,"$796,541",İçi boş profiller,"ALME2.PROF4BIL ELOK21SAL //  /8A AK-P0  PAR2 LAK ŞAMPANYA // AK-P0 // 10 MİK,ALM.PROFIL PRES //,ALM.PROFIL ELO+KSAL //  / AK-M4  MAT SIYAH // AK-M4 // 10 MİK",,,
ENERCON  GMBH,ALMANYA,12,"$791,428",İçi boş profiller,ROTOR POLE BRİDGE 1D02696473X EN1059604//ROTOR POLE BRİDGE 1 D02696473X EN1059604,,,
BAU SYSTEME SERVICE GMBH ALUMINIUM PROFILE UND BAU-,ALMANYA,42,"$788,843",Profiller,ALÜMİNYUM  PROFİL   ( BOYASIZ ) | ALÜMİNYUM  PROFİL   -( BOYASIZ ),,,
EXTE GMBH DAMASCHKEWEG 15 06366 KÖTHEN GERMANY,ALMANYA,66,"$787,339",Profiller,ALÜMİNYUM PROFİL-BOY-ALI | ALÜMİNYUM PROFİL-ELO-KSALLI | ALÜMİNYUM PROFİL-PRE-S,,,
CLASSIC METALS SUPPLIERS CORP.,BIRLEŞIK DEVLETLER,8,"$786,395",İçi boş profiller,,,,
AMG RAILING SP. Z O.O.,POLONYA,40,"$785,408",Profiller | İçi boş profiller,ALÜMİNYUM PROFİL PRES | PRES ALM. PROFIL 6063 ALAŞIM T66 L:6000MM PAKETLENMIŞ MAMUL FLAT BAR 80X15 ; PRES ALM. PROFIL 6060 ALAŞIM T66 L:6000MM PAKETLENMIŞ MAMUL GLASHEK 54- 30 M8 TOP | PRES ALM. }PROFIL,,,
GRADA INTERNATIONAL N.V,BELÇİKA,24,"$784,758",İçi boş profiller,"ALUMİNYUM ALAŞIMLARINDAN İÇİ BOŞ PROFİLL/ER(BOYASIZ,ISI YALITIMI İÇERMEYEN)",,,
EXPALUM EXTREMENA DE PERFILADOS,İSPANYA,43,"$780,902",İçi boş profiller,ALÜMİNYUM PROFİL ( B-OYASIZ ) | ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM }PROFİL | ZIP ACCECU}ARY SET,,,
G.K.EQUIPMENT GREECE SINGLE MEMBER S.M.P.C.,YUNANİSTAN,11,"$780,648",Profiller,"10SAD60*SIVA  PROFİLİ,00SAD06*SIVA PROFİ/Lİ | ALÜMİNYUM }PROFİL",,,
SC ALUMINIU - GRUP SRL,MOLDOVA,42,"$779,299",İçi boş profiller,"** ALÜMİNYUM PROFİL ( BOYALI ) 2023/D1-03000  ** | ** ALÜMİNYUM PROFİL (BOYALI) 2024/D1-009/69  ** | ** ALÜMİNYUM PROFİL (BOYASIZ) 2023/D1-03000  ** | ** ALÜMİNYUM PROFİL (ELOKSAL) 2023/D1-03000  ** | ** E2ALÜM4BİNYUM 21PROFİL (8A BOYASIZ ) 2 2024/D1-00969  ** 
** ALÜMİNYUM PROFİL ( BOYASIZ ) 2024/D1-00969  **+",,,
PRIORIM TECHNOLOGIES GMBH,ALMANYA,13,"$778,671",Profiller,ALÜMİNYUM ÇUBUKLAR VE PROFİLLER(İZOLASYO/NSUZ),,,
ALMAX BV,HOLLANDA,29,"$777,789",Profiller,ALÜMİNYUM PROFİL PRE-S,,,
ALFEB HANDELS -GMBH,ALMANYA,45,"$774,247",Profiller,152.01.0003 ALÜMİNYUM PROFİL PRES,info@alfep.de,https://alfep.de,+49 2352 709 25 57
NNG 2008,GÜRCİSTAN,94,"$773,678",Profiller,"ALÜMİNYUM ELOKSAL PROFİL (BOYASIZ, KAĞIT KAPLANMAMIŞ,FİTİLSİZ) | ALÜMİNYUM ELOKSAL PROFİL (BOYASIZ, KAĞIT/ KAPLANMAMIŞ,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMA/MIŞ,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMAMIŞ,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMAMIŞ,FİTİLSİZ,ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMAMIŞ,FİT+İLSİZ) | ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMI/Ş,FİTİLSİZ) | ALÜMİNYUM PROFİL (BOYASIZ, KAĞIT KAPLANM/AMIŞ,FİTİLSİZ) | ISI YALITIMLI ALÜMİNYUM ELOKSAL PROFİL (/BOYASIZ, KAĞIT KAPLANMAMIŞ) | ISI YALITIMLI ALÜMİNYUM ELOKSAL PROFİL (BOYASIZ, KAĞIT KAPLANMAMIŞ) | ISI YALITIMLI ALÜMİNYUM PROFİL (BOYALI, /KAĞIT KAPLANMAMIŞ) | ISI YALITIMLI ALÜMİNYUM PROFİL (BOYALI, /KAĞIT KAPLANMIŞ) | ISI YALITIMLI ALÜMİNYUM PROFİL (BOYALI, KAĞIT KAPLANMAMIŞ) | ISI YALITIMLI ALÜMİNYUM PROFİL (BOYASIZ,/ KAĞIT KAPLANMAMIŞ)",,,"+011502003518, 5683783918, 3342256056, 5714285714, 2717130421, 3101150200, +8616621075894, 0241500000, 0429900000, 0140190019, 2677098000, 3024150000, 3923509000, 3014019001, 2717142212, 4267551542, 2717150188, 3198582672, 2717157506"
ALFUN A.S. METAL SERVICE CENTER ZAHRADNI BRUNTAL 7,ÇEK CUMHURİYETİ,19,"$771,892",İçi boş profiller,ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM PROFİL (BOYASIZ) [3984.00 MT]/,,,
HP STEEL S.R.O.,BULGARİSTAN,18,"$767,883",Profiller | İçi boş profiller,DUŞ KABINI AKSAMI/AL-UMİNYUM PROFİL | DUŞ KABINI AKSAMI/ALUMİNYUM PROFİL | DUŞ KABINI} AKSAMI,info@alutern.cz,https://alutern.cz/en/contact,"+420739376058, 0739376058"
MILVEST AKARYAKIT FINANS DIS TIC A.Ş.CONGO,KONGO (DEMOKRATIK CUM.) ESKI ZAIRE,32,"$762,749",Profiller,40*60*3.00 PROFİL BO-RU | 80*80*3.00 PROFİL BO-RU | ALÜMİNYUM SU BASMAN -PROFİLİ 83 MM,,,
