Buyer,Country,Invoices,USD,Email,Website,Phone,Address
EPS CORPARATE CONSULTING LTD,GÜRCİSTAN,1,"$119,999",,,,
BALKAN COLSULTANCY,GÜRCİSTAN,7,"$116,163","[""office@balkan-consulting.biz""]","[""https://balkan-consulting.biz/contact/""]","[""+381 65 457 32 18""]",
LLC NEXT DOWNTOWN,GÜRCİSTAN,12,"$113,578","[""info@nextgroup.ge""]","[""https://next-property.com/""]","[""+995514111111"",""+995574330033""]","[""Georgia Batumi, Kostava st. 20"",""Batumi, Luka Asatiani st. 18"",""Georgia Tbilisi, 37m Ilia Chavchavadze Avenue"",""Georgia Tbilisi, Tsurtsumia st. 12""]"
FORİS 18,GÜRCİSTAN,6,"$108,039",,"[""https://www.tendata.com/en/supplier/foris-18-llc-GEONecd82b034ec39824a5328f65902f52f6.html""]",,
BROTHER AND BROTHER  LTD,GÜRCİSTAN,14,"$106,982","[""bwindowb@gmail.com""]",,"[""+995 32 271 00 19"",""(568) 49 65 65""]","[""146 Beri Gabriel Salosi Ave., Tbilisi, Isani-Samgori District, 0113, Georgia""]"
GLOBAL GEORGIA LLC.,GÜRCİSTAN,12,"$106,820",,"[""https://globalgeorgia.com.ge""]","[""+995588887220"",""+995588887260"",""243-60-43""]","[""Проспект Фридона Халваши, 130, 1 этаж, Аэропорт район, Батуми, Батуми муниципалитет, Аджарская автономная республика"",""ჯავახიშვილის ქ. 12, თბილისი""]"
GRADA CONSTRUCTION LLC,GÜRCİSTAN,7,"$104,447","[""info@grada.ge""]","[""https://www.gradaconstruction.ge/en""]","[""+995322407407""]","[""Tbilisi, Agmashenebeli alley #188""]"
LTD METALO ALUMINI TXID,GÜRCİSTAN,1,"$104,230","[""contact@metalo.ge"",""info@alu.ge""]","[""https://metalo.ge/en/home/""]","[""+995 551 18 06 13""]","[""Gori, Tskhinvali ave #8""]"
ATLAS FOOD AND TRADE,GÜRCİSTAN,17,"$102,877",,,"[""+995322192121"",""5589948630"",""265-43-63""]","[""31, Guramishvili Ave., Tbilisi, Georgia""]"
ALUPLAST GLASS LTD,GÜRCİSTAN,22,"$102,428",info.de@aluplast.net,,995593708080,
LTD DATA KOD 206 261 052,GÜRCİSTAN,23,"$98,264","[""skola-premieri@mail.ru""]","[""https://www.companyinfo.ge/ka/corporations/384176""]","[""3638106519""]","[""საქართველო, ქ. თბილისის ისნის რაიონში, ჟონეთის ქ 1/26""]"
L.T.D. GORPLASTI,GÜRCİSTAN,18,"$97,790","[""l.t.d.gorplasti@gmail.com""]","[""https://www.facebook.com/profile.php?id=100014954798146""]","[""(599) 50 90 21"",""(551) 99 09 99"",""593990999""]","[""Gori, Vill. Tiniskhidi, Georgia""]"
INDUSTRIA VALENTINI,GÜRCİSTAN,3,"$95,891","[""tamaz61@gmail.com"",""valentini@caucasus.net""]","[""valentini.ge""]","[""251 88 25"",""(599) 50 44 60""]","[""11 P. Sarajishvili St., Tbilisi, Georgia""]"
LLC LEBO GEORGIA,GÜRCİSTAN,21,"$93,197",,"[""https://www.companyinfo.ge/ka/corporations/310509""]","[""3638106519""]",
OOO   RIKZA ',GÜRCİSTAN,5,"$92,525",,"[""https://www.trademo.com/companies/ooo-rikza/52072698""]","[""0876007041"",""4087600704"",""5009146050""]",
SALAMANDRA LTD,GÜRCİSTAN,2,"$92,079","[""office@kalamani.ge"",""info@salamander.ge""]","[""https://salamander.ge/""]","[""+995322105150"",""+995322386784""]","[""ი. ჭავჭავაძის გამზ. 19, თბილისი, საქართველო"",""ვაჟა–ფშაველას გამზ. 3, თბილისი, საქართველო"",""\""თბილისი მოლი\"", II სართული, თბილისი, საქართველო"",""\""სითი მოლი\"" საბურთალო II სართული, თბილისი, საქართველო""]"
MAMLUK1 LTD,GÜRCİSTAN,14,"$90,010","[""info@mamluk.us""]","[""https://mamluk.us/contact-us/"",""https://find-and-update.company-information.service.gov.uk/company/14273720""]","[""2745832029""]","[""483 Green Lanes London N13 4BS England""]"
EL DOOR,GÜRCİSTAN,19,"$89,895",,"[""https://www.facebook.com/spseldoor/""]","[""+995 555 34 43 50""]",
LTD BUILDER BEES GROUP,GÜRCİSTAN,2,"$88,757",,"[""https://builderbees.com/""]",,
IDEALI LLC,GÜRCİSTAN,21,"$86,824","[""ltd.ideali@gmail.com"",""info@ideal.ge""]","[""https://ideal.ge""]","[""+995593777765"",""+995322540854"",""+995322995055"",""+995422200400""]","[""Ir.abashidzis gamz. n 10 b. 50"",""D. Aghmashenebli Ave. 71, Tbilisi"",""Kakheti Highway N83a, Tbilisi"",""Leonidze Street 7, Batumi""]"
ADVANTA CONSULTING LLC,GÜRCİSTAN,12,"$85,728",TT@ADVANTACONSULTING.GE,https://advantaconsulting.ge/,995577755175,"11 ELIZBAR MINDERLI STR. TBILISI, GEORGIA"
LTD GLASS GALLERY,GÜRCİSTAN,12,"$85,445","[""info@lggroup.ge""]","[""https://lggroup.ge/english/contacts""]","[""+995322500080""]","[""Vani St. 4, Tsereteli avenue, Tbilisi"",""Sarajishvili St. 14, Avchala, Tbilisi""]"
LTD STARPEN,GÜRCİSTAN,13,"$84,591",,"[""https://www.trademo.com/companies/starpen-llc/47762596"",""http://biz.aris.ge/en/"",""https://companyinfo.ge/en/additional-search""]","[""5322195555"",""+995322195555"",""5589948630"",""+995322192121"",""3638106519""]","[""A.Tsereteli Ave.116, Didube Plaza, 4 Floor"",""App #3, 47 Kostava street, Tbilisi, 0171, Georgia""]"
"LTD ""KEVRI""",GÜRCİSTAN,12,"$78,186","[""german.ltd.kevri@gmail.com""]","[""https://www.kevri.net/""]","[""+00999999999"",""+0999999999999"",""+00000000000"",""+0666666666666"",""+0333333333333"",""+053144538958"",""+023225876"",""2545352419"",""2054936319"",""4999999999"",""+8616621075894"",""0421000000"",""0241500000"",""0210000019"",""+01693002200"",""0241100019"",""2677098000"",""3024150000"",""3021000001"",""4016930022""]","[""Bogdan Khmelintsky 5""]"
LLC IBERIA,GÜRCİSTAN,6,"$77,834","[""info@iberia.ge""]","[""http://www.iberia.ge""]","[""+995 (593) 30-46-19"",""225-31-13"",""225-38-40""]","[""99, Godziashvili Str., Tbilisi"",""ჭავჭავაძის გამზ. 49ა, თბილისი""]"
UNIVERSAL,GÜRCİSTAN,1,"$76,438","[""info@universal-ge.com""]","[""https://universal-ge.com""]","[""+995595405550"",""+995595955611""]","[""Didube-Mekanizatsia str 5, Tbilisi, Georgia""]"
EVROKAREBI LTD,GÜRCİSTAN,6,"$76,161",,,,
COMFORT DOOR COMFORT DOOR,GÜRCİSTAN,9,"$76,047",117@doremi.ge; info@doremi.ge,https://www.doremi.ge/,995577333777; 995596858885,"117 Tsereteli ave., 0119 Tbilisi, Georgia; 1 Meqanizatsia St., 0192 Tbilisi, Georgia"
INL LLC,GÜRCİSTAN,1,"$75,294",,"[""https://enreg.reestri.gov.ge/main.php?m=new_index&l=en""]","[""3638106519""]",
LTD ORIGINE EV,GÜRCİSTAN,4,"$75,007","[""origingeorgia@origingeorgia.ge""]",,"[""3638106519""]","[""საქართველო, ქ. თბილისის, ვაკე-საბურთალოს რაიონი, ნ.რამიშვილის ქ., №31""]"
SONNIVA GEORGIA LTD.,GÜRCİSTAN,113,"$72,698","[""sales@sonnivageorgia.com""]",,"[""269 36 99"",""(571) 65 11 33"",""(574) 23 40 84""]","[""Tbilisi, NADZALADEVI, 1 Mekanizatsia St.""]"
TK MESHENI LTD,GÜRCİSTAN,16,"$72,177","[""tchkonia@hotmail.com""]","[""https://www.trademo.com/companies/tk-msheni-ltd/47734110""]","[""3638106519""]",
DS WHITE LINE,GÜRCİSTAN,10,"$71,434",info@dsg.ge,https://dsg.ge,995596991111; 995596771111; 995596701111; 995596551111; 995596881111,"Batumi, Georgia, Str. K.Gamsakhurdia N13"
DEMU GROUP LLC,GÜRCİSTAN,8,"$71,021",,"[""https://en.52wmb.com/buyer/177922168""]","[""2520200090"",""0959298463"",""0429900000"",""01693002200"",""0221000019"",""+8616621075894"",""3214900000"",""4016930022""]",
FACAD SYSTEM LTD,GÜRCİSTAN,2,"$70,779","[""info@facade-systems.com"",""accounts@facade-systems.com""]","[""https://facade-systems.com/""]","[""0588235294"",""+0588235294118"",""2352941176"",""4705882352"",""4705882353"",""+05882352941"",""4117647058"",""3529411764"",""+04635364827"",""+03300437436""]","[""47 Hamilton Square, Birkenhead, CH41 5AR""]"
SOLAR ENERGY GEORGIA LLC,GÜRCİSTAN,2,"$70,372","[""info@solar.ge""]","[""www.solar.ge""]","[""252 59 69"",""(599) 15 54 83""]","[""0159, Tbilisi, Didube-Chugureti District, Chachava str. 6"",""Tbilisi, DIGOMI, 6 Chachava St., Fl. 1, R. 2""]"
AES LLC,GÜRCİSTAN,6,"$68,726",careers@aes.com; katie.lau@aes.com,https://www.aes.com/contact,13172618261; 5072062600; 310207970700; 5712869362; 55226868900; 17035221315,
LTD MARULA CODE: 400015229,GÜRCİSTAN,20,"$66,657",,"[""https://www.bia.ge/EN/Company/6576"",""https://en.52wmb.com/buyer/139914254"",""https://en.52wmb.com/buyer/33566788""]","[""0959298463"",""+8616621075894"",""3824999690"",""3214101000"",""0429900000"",""3926909790""]","[""georgia tbilisi feiqrebis 14""]"
LTD LILUTA,GÜRCİSTAN,15,"$66,324","[""info@liluta.ge""]","[""https://liluta.ge""]","[""579 06 00 06""]","[""თბილისი, თვალჭრელიძის III შესახვევი"",""Tbilisi, Tvalchrelidze III turn""]"
BRIGHT ENERGY,GÜRCİSTAN,2,"$66,266","[""bsmith@cherrystreetenergy.com"",""customerservice@brightenenergy.com"",""public@te.ge"",""info@ener.ge"",""brightgeorgiafoundation@gmail.com"",""damien@bright-energy.eu"",""info@bright-energy.eu""]","[""https://www.brightenenergy.com/call-us"",""https://www.cherrystreet.com/contact"",""https://te.ge/ka/contact.html"",""https://www.brightgeorgia.org/contact"",""https://www.bright-energy.eu/""]","[""065619342673"",""04720931799"",""04374494673"",""8332414594"",""3741166560"",""04721657729"",""05697476556"",""0006374116656"",""3906872912"",""04720867134"",""9950322880820"",""995322404004"",""995514775885"",""995597333333"",""2978975399"",""3568858529"",""+32486552200"",""0956177924"",""3248655220""]","[""1000 Marietta St NW, Suite 290 Atlanta, GA 30318"",""Besiki Business Center 4 Besiki Street Tbilisi, GEORGIA 0108"",""Ottergemsesteenweg Zuid 713 9000 Ghent Belgium""]"
LUMINOR GROUP LTD,GÜRCİSTAN,77,"$65,169","[""info@luminor.ge""]","[""https://luminor.ge/""]","[""+995577212130""]","[""Batumi, Georgia""]"
IDEA MELIKISHVILI LTD,GÜRCİSTAN,2,"$64,855","[""info@idea.ge""]","[""https://idea.ge""]","[""+995-577-52-25-85"",""+995-577-73-47-27""]","[""Georgia, Tbilisi, 0156"",""Georgia, Tbilisi, 0159""]"
SPECIMPEX LLC,GÜRCİSTAN,1,"$64,470","[""service@nbd.ltd"",""info@bia.ge"",""sales@bia.ge""]","[""https://en.nbd.ltd/trader/info/I9NBD202620583"",""https://www.bia.ge/EN/Company/84414?VisitCompanyType=3&ServiceCategoryId=64&ServiceId=4914""]","[""0630729000"",""0690000019"",""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+0725057477427"",""2104900901"",""3063072900"",""3069000001"",""+995577730033"",""+05646449730"",""5632056464"",""5577730033""]","[""0113, Tbilisi, Isani-Samgori District, Cholokashvili str., Apartm. 21""]"
EVROMSHENI LTD,GÜRCİSTAN,6,"$63,672","[""evromsheni1@gmail.com""]",,"[""+995599574041""]","[""Enukidzis 9""]"
LLC SATAKHA I/N 236689696,GÜRCİSTAN,2,"$63,600","[""info@borjomipalace.ge""]","[""https://www.borjomipalace.ge""]","[""+9950322430031"",""+9950322430032"",""0322430031"",""0322430032"",""2999996250"",""4696592813"",""5032243003"",""2743435207"",""3638106519""]","[""Georgia, Borjomi, Gamsakhurdia Street #17""]"
MAIN CONSTRUCTION LTD.,GÜRCİSTAN,6,"$60,851","[""chonqa@gmail.com""]","[""https://www.companyinfo.ge/ka/corporations/901634"",""https://www.bia.ge/Company/121451""]","[""3638106519""]","[""საქართველო, ბათუმი, შ.რუსთაველის ქ. N42""]"
KURTOGLU  GEORGIA LTD,GÜRCİSTAN,28,"$60,247","[""info@alu.ge""]","[""https://alu.ge/english/contacts""]","[""599 25 63 63""]","[""Qiziki Str. N24, Tbilisi, Georgia""]"
BRCG LLC,GÜRCİSTAN,4,"$53,101","[""sales@brc.ge""]",,"[""+995 593 32 00 23""]","[""მექანიზაციის ქ. 1, თბილისი, საქართველო"",""ზაირა კიკვიძის 4 (მექანიზაციის 1), თბილისი, საქართველო""]"
MONTİ GROUP LLC,GÜRCİSTAN,4,"$52,810","[""info@monttech.am"",""helpme@monttech.ae"",""support@mont.ru"",""info@monttech.ae"",""sales@monttech.ge"",""info@monttech.ge""]","[""https://monttech.ge/en-ge""]","[""+71992547409"",""+094689999999"",""2184997867"",""3144130122"",""2338729028"",""2796797225"",""3222928474"",""3178744045"",""2256945678"",""2468900940""]",
DIO LTD,GÜRCİSTAN,8,"$52,697","[""info@dio.ge""]","[""https://dio.ge"",""https://dio.ge/english/contacts""]","[""+995322361112"",""+995322331199"",""+995322192121""]","[""Tbilisi (Dighomi) 12th km D. Agmashenebeli Alley №3 Parsadani. Str, Tbilisi, Georgia"",""Tbilisi (Saburtalo) 79 Tsintsadze Str., Tbilisi, Georgia"",""Batumi 128/134 Vakhtang Gorgasali str., Batumi, Georgia"",""Kutaisi 20 Ilia Chavchavadze str., Kutaisi, Georgia"",""Telavi 52 al. Chavchavadze ave., Telavi, Georgia""]"
NKY STAR CONSTRUCTION GEORGIA,GÜRCİSTAN,8,"$52,383","[""info@nky.com.sa"",""info@nky.com.tr""]","[""https://nky.com.tr/nky-georgia/""]","[""+96522271692"",""+971044278736"",""+77172472517"",""+966112039300"",""5547336157"",""3122203095""]","[""Office in Tbilisi, Georgia""]"
YONPAS GEORGIA LTD,GÜRCİSTAN,7,"$52,214","[""info@yonpas.com""]","[""https://www.yonpas.com/""]","[""+995 322 55 10 00"",""+995 322 551 000"",""+995 599 562 477"",""+995 599 562 027""]","[""ULIANOVI 29 AVCHALIS RAIONI TIBLISI"",""4g Libani St., Avchala, Tbilisi"",""7 Orbeliani St., Batumi""]"
ARSIGROUP LTD ŞTİ.,GÜRCİSTAN,2,"$52,101","[""trading@arsigroup.al"",""info@arsigroup.al""]","[""http://biz.aris.ge/?language=en"",""https://arsigroup.al/sq/contact/""]","[""+995322192121"",""355672000306"",""355693825808""]",
LTD.FLEXMEDİA 401978311,GÜRCİSTAN,7,"$51,916","[""production@flexmedia.ge"",""sales@flexmedia.ge""]","[""https://flexmedia.ge/""]","[""+995577468587"",""+9950322397430""]","[""ვაჟა ფშაველას პირველი ჩიხი 1/43, Tbilisi, Georgia""]"
VIVA-JALUZI,GÜRCİSTAN,21,"$51,500","[""info@vivajaluzi.com""]","[""https://vivajaluzi.ge/""]","[""+995 32 245 44 99"",""032 245 44 99""]","[""0144, Tbilisi, Isani-Samgori District, Ialbuzi str. 12"",""Tbilisi, Ialbuzis Street #12""]"
LTD NK GROUP,GÜRCİSTAN,9,"$51,003","[""sales@nkgroup.ug"",""info@nkgroup.ug""]","[""https://korter.ge/en/nk-group"",""https://nkgroup.ug/"",""https://nkgroup.ug/contact-us/""]","[""+995322054262"",""+995322054272"",""4165252691"",""5311128274"",""4616337861"",""+256393247286"",""+256780338797""]","[""Nasser Road, Sayuuni Towers Level 4, Room N-01 P.O. Box 72943 Kampala – Uganda""]"
LIMITED LIABILITY COMPANY DELTAPRO LLC,GÜRCİSTAN,2,"$50,573",,"[""http://www.deltapro.am/""]","[""+919743155525"",""7713424446"",""7722277710""]","[""Аршакуняц 34, Ереван, Армения 0026""]"
LTD ARDI,GÜRCİSTAN,3,"$50,522","[""office@ardi.ge""]","[""https://ardi.ge/""]","[""0322101010"",""0692222523"",""3583806922"",""2777744611"",""3776525695""]","[""28 Zurab Anjaparidze street, Tbilisi, Georgia, 0186""]"
G.V. TRANS LLC,GÜRCİSTAN,3,"$50,196","[""info@gv-group.ge""]","[""https://gv-group.ge/""]","[""+995555719132""]","[""გიორგი მიროტაძის ქ. 6, თბილისი, საქართველო""]"
LTD LAKO,GÜRCİSTAN,3,"$49,828","[""info@lako-georgia.ge""]","[""https://lako-georgia.ge/en/"",""https://lako-georgia.ge/en/contacts/""]","[""+995 595 66 86 86"",""032 2 060 077"",""0619430218"",""5506194302""]","[""Mtskheta, Tserovani village, Georgia""]"
AD MARKET LTD. 400103927,GÜRCİSTAN,6,"$49,746","[""admarket.ge@gmail.com""]","[""https://admarket.ge/""]","[""+995 551 552 501"",""+995 595 595 161"",""+995 598 261 212"",""+995 593 12 14 11"",""+995 595 59 51 61""]","[""5 Erekle II Lane, Old Tbilisi, Tbilisi, Georgia""]"
MINIS TSERTILI LTD(GLASS POINT LTD),GÜRCİSTAN,3,"$47,889",,"[""https://en.nbd.ltd/trader/info/I9NBD203075412""]","[""+995322500080""]","[""Vani St. 4, Tsereteli avenue, Tbilisi"",""Sarajishvili St. 14, Avchala, Tbilisi""]"
DECOROOM MARKET LLC,GÜRCİSTAN,1,"$47,277","[""support@decoroom.work""]","[""https://www.decoroom.work/contact/""]","[""+995 555 02 00 66"",""050521148504""]","[""6 Tornike Eristavi St, Tbilisi, Georgia"",""3-5, Shardeni Street, Tbilisi, Georgia""]"
LTD GARANTI GROUP,GÜRCİSTAN,17,"$47,269","[""info@garantigroup.ge""]","[""www.garantigroup.ge""]","[""(598) 12 30 30"",""(577) 41 40 05"",""(598) 14 38 38""]","[""Batumi, 72 Chavchavadze St., Georgia"",""Tbilisi, 1 Isaakiani dead end, Georgia""]"
ALUTECH LLC,GÜRCİSTAN,15,"$46,687","[""info@alu.ge""]","[""https://alu.ge/english/"",""https://alu.ge/english/contacts""]","[""599 25 63 63""]","[""Kiziki Str. N24, Tbilisi, Georgia""]"
SIMFELT  FURNITURE MATERIALS LLC,GÜRCİSTAN,1,"$45,924",,"[""https://secretaryofstate.com/georgia"",""https://www.tendata.com/en/supplier/simfelt-furniture-materials-llc-GEON5c5fce5ef1a35c61b27d92816c5539f7.html""]","[""+540753009019"",""+392329900019"",""+600690000000"",""0933105662"",""3909331056"",""4046562881"",""+011502003518"",""5683783918"",""5714285714"",""2720921173"",""3101150200"",""2720932311"",""0876007041"",""4087600704""]",
IPS DEVELOPMENT LLC,GÜRCİSTAN,1,"$44,685","[""service@nbd.ltd""]","[""https://en.nbd.ltd/trader/info/NBDX2H178091035""]","[""2700605266"",""0429900000"",""0830000019"",""0241500000"",""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+0725057477427"",""3083000001""]",
LLC PERSPECTIVE 82,GÜRCİSTAN,3,"$42,497",,"[""https://korter.ge/ru/perspective-2""]","[""+995322054262"",""+995322054272""]",
EKO LISI LLC,GÜRCİSTAN,3,"$42,351","[""info@ecolisi.ge""]","[""https://ecolisi.ge""]","[""+995551535599""]","[""Mzia Eristavi St. N12""]"
LTD MARULA,GÜRCİSTAN,39,"$41,206","[""tornike_gogebashvili@yahoo.com""]","[""https://companyinfo.ge/en/corporations/399817"",""https://tendermonitor.ge/en/organization/30284""]","[""+99579466867"",""3638106519"",""+830140190019"",""+830241500000"",""+8616621075894"",""0690000019"",""0210000019"",""2677098000"",""3069000001"",""4669280000"",""3916200000"",""3021000001""]","[""Sakartvelo, K. Tbilisis Vake-saburtalos Raionshi, Qazbegis Gamz.,no19, B-32"",""Al.qazbegis n19""]"
LTD OCNEBA,GÜRCİSTAN,2,"$40,570","[""service@nbd.ltd"",""info@enterprise.gov.ge""]","[""https://en.nbd.ltd/trader/info/I9NBD214477911"",""https://www.companyinfo.ge/en/corporations/357065""]","[""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+0725057477427"",""0440023893"",""3916200000"",""3925908009"",""3240082433"",""3733749762"",""6785803221"",""3638106519"",""+995322960010""]","[""Sakartvelo, Sagarejo, Sopeli Qandaura""]"
ELT CONSTRUCTION GROUP LLC,GÜRCİSTAN,5,"$40,247","[""info@eltgroup.ge"",""sales@eltgroup.ge"",""procurement@eltgroup.ge"",""finance@eltgroup.ge"",""law@eltgroup.ge"",""marketing@eltgroup.ge""]","[""https://eltgroup.ge/en/""]","[""+995 514 44 00 00"",""+995 422 40 00 40"",""+995 514 22 22 00"",""+995 514 22 22 33"",""+995 514 22 22 55"",""+995 514 22 22 66"",""+995 514 22 22 44"",""+995 577 24 52 18"",""+995 557 57 03 30"",""+995 577 29 29 35"",""+995 577 07 10 37"",""+995 577 23 03 09"",""+995 577 21 72 22"",""+995 512 22 22 42"",""+995 577 24 25 16""]","[""N18, R. Nizharadze str. Batumi, Georgia"",""12 R. Holbrooke Street, Tbilisi, Georgia"",""Dighomi, Tbilisi, Georgia""]"
LTB BROCOMP - (GÜRCİSTAN) - 88,GÜRCİSTAN,6,"$39,896","[""ltb@ltb.ge""]","[""https://ltb.ge""]","[""+995322667161"",""+995322667162"",""+995322667163""]","[""2 Eristavi str., Tbilisi, Georgia"",""21 T. Eristavi St., Tbilisi, Georgia""]"
GLASS GALLERY,GÜRCİSTAN,4,"$39,076","[""info@glassgeorgia.ge"",""maryam.p@glassgeorgia.ge"",""amir.p@glassgeorgia.ge"",""azade.a@glassgeorgia.ge""]","[""https://www.glassgeorgia.ge/index.php/en/""]","[""+995599566319"",""+905344939866"",""0673744075004"",""0673744075005""]","[""Vakhtang Gorgasali st. #115 Tbilisi Georgia""]"
ECOGROUP TRANS LTD,GÜRCİSTAN,1,"$38,790",lctransgeorgia@gmail.com,,0568553808; 011502003518,"საქართველო, თბილისი, გლდანის რაიონი, გლდანი, V მ/რ., კორ. 19, ბ. 63"
GEOALUM LLC,GÜRCİSTAN,2,"$38,463",,,,
TAZHI GROUP LTD,GÜRCİSTAN,15,"$38,105","[""tazhi.group@gmail.com""]","[""www.tazhi.ge""]","[""+995 32 2 47 97 91"",""+995 591 54 07 54"",""+995 598 00 21 15"",""+995 322 432 432""]","[""1 David Kobakhidze II Lane, Tbilisi, Georgia"",""E. Mindeli Street 5, Tbilisi, Georgia""]"
DNT CONSTRUCTION LLC,GÜRCİSTAN,110,"$38,043","[""bidssa@dntconstruction.com"",""bidsa@dntconstruction.com"",""bidsaus@dntconstruction.com"",""inquiries@dntconstruction.com"",""bidshou@dntconstruction.com""]","[""https://www.dntconstruction.com/""]","[""+15128376700"",""+15128376701"",""+12104906700"",""+13466150880"",""+13466150881"",""5128376700"",""5128376701"",""2104906700"",""2104906701"",""3466150880""]","[""2300 Picadilly Drive Round Rock, TX 78664"",""18954 Redland Road San Antonio, TX 78259"",""25145 Star Lane suite 105 Katy, TX 77494""]"
LTD OPTIMUM COMPANY,GÜRCİSTAN,11,"$37,527","[""info@optimum.com.ge"",""info@optimum.ge""]","[""https://optimum.com.ge"",""https://optimum.ge/en/""]","[""+995322252537"",""+995514001101"",""+995322324411"",""+995322181307""]","[""32a, Al. Kazbegi Ave., Tbilisi, Georgia"",""Taktakishvili 11, Tbilisi, Georgia"",""16, Kikodze Str., Tbilisi, Georgia""]"
IDEA MELİQİSHVİLİ,GÜRCİSTAN,1,"$36,666","[""info@idea.ge""]","[""https://idea.ge""]","[""+995-577-52-25-85"",""+995-577-73-47-27""]","[""Georgia, Tbilisi, 0156"",""Georgia, Tbilisi, 0159""]"
LG GROUP,GÜRCİSTAN,3,"$36,444","[""info@lggroup.ge""]","[""https://lggroup.ge""]","[""+995322500080"",""+995 32 250 00 80""]","[""Vani St. 4, Tsereteli avenue, Tbilisi"",""Sarajishvili St. 14, Avchala, Tbilisi""]"
ANAGI ART HOUSE,GÜRCİSTAN,10,"$36,185",info@artfoundationanagi.com; info@artfoundationanagi.ge,https://artfoundationanagi.com/,995322299029,"12 Zurab Avalishvili St, 0179 Tbilisi, Georgia"
UPCO LLC SABURTALO,GÜRCİSTAN,1,"$35,493","[""info@upco.ge""]","[""https://upco.ge/""]","[""+995 596 43 33 33"",""+995322104021""]","[""თბილისი, თეიმურაზ I-ის ქუჩა, N8"",""Tbilisi, Teimuraz I Street, N8""]"
M DESIGNE LTD,GÜRCİSTAN,1,"$34,917","[""contact@mdesign.ge""]","[""http://www.mdesign.ge""]","[""+995 225-39-21"",""+995 223-15-87""]","[""Mosashvili Street 11, Tbilisi, Georgia""]"
KAFKASTUR GEORGIA LLC - USD,GÜRCİSTAN,32,"$34,638","[""beqa-2008@mail.ru""]",,"[""3638106519"",""2880829057"",""2677611078""]","[""Sakartvelo, Batumi, Zubalashvilis K., No 22""]"
INOX STUDIO,GÜRCİSTAN,1,"$34,377","[""info@inoxstudio.com""]","[""http://www.inoxstudio.com""]","[""(595) 28 02 72"",""(598) 45 85 95""]","[""6v Libani St, Tbilisi, Georgia""]"
GLASS WORK LLC,GÜRCİSTAN,22,"$34,101","[""info@glasswork.ge"",""sales@glasswork.ge""]","[""https://glasswork.ge""]","[""+995 032 2 404 999"",""+995 032 2 403 999""]","[""50 Rustavi Highway, 0165 Tbilisi, Georgia""]"
GZAJVAREDINI LTD,GÜRCİSTAN,6,"$33,537","[""info@crossroad.ge""]","[""http://www.crossroad.ge""]","[""+995322308085""]","[""Grigol Lortkipanidze 122, Tbilisi, Georgia"",""122 Grigol Lortkipanidze str. Tbilisi, 0145, GE""]"
GRANDE GROUP LTD,GÜRCİSTAN,5,"$33,162","[""info@grandegroup.ge""]","[""https://www.grandegroup.ge/en/"",""https://www.grandegroup.ge/en/contact/""]","[""595 90 99 99"",""+995 595 90 99 99""]","[""Tbilisi, Krtsanisi District, Krtsanisi Second Lane #35"",""თბილისი, კრწანისის მე-2 შესახვევი, სახლი: 17""]"
ORBI GROUP BATUMI ID-445468798,GÜRCİSTAN,9,"$32,484","[""info@orbi.ge"",""sales@orbi.net"",""info@orbihotels.com"",""kz@orbi.net"",""moscow@orbi.net""]","[""https://www.orbi.ge/"",""https://www.orbihotels.com/"",""https://www.orbigroup.info/index-en.html"",""https://5231-ge.all.biz/contacts""]","[""+995 555 31 00 00"",""+995 (599) 57-08-59"",""+995 555 33 00 00"",""+995 422 200 250"",""+49 1520 5455500"",""+49 6940 898710"",""+48 221 530 711"",""+7 717 247 6240"",""+7 727 355 2525"",""+90 5544555555"",""+994 412 310 09 14"",""+7 495 150 5505""]","[""7b Sheriff Khimshiashvili Street, Batumi, Autonomous Republic of Adjara, Georgia"",""Commercial Space 1, Block A, Floor 1, 7b Sheriff Khimshiashvili Street, Batumi, Georgia"",""Sh. Khimshiashvili str. 7, Batumi (6010), Georgia""]"
LTD ACCORDO 2024,GÜRCİSTAN,3,"$31,823",,"[""https://find-and-update.company-information.service.gov.uk/company/15263168"",""https://www.bia.ge/EN/Company/AdvancedSearch""]","[""2745832029"",""+995322195555""]",
ESKADRA GROUP LLC,GÜRCİSTAN,2,"$31,753","[""service@nbd.ltd"",""davidzviadauri@icloud.com""]","[""https://en.nbd.ltd/trader/info/I9NBD202869786"",""https://www.tendata.com/en/buyer/eskadra-group-llc-GEON4b8a4d461cd28e2c4f50242e1ffe3a66.html"",""https://www.companyinfo.ge/en/corporations/890578""]","[""0350000019"",""0242000000"",""0360100000"",""0161000019"",""+0701324008243"",""+0708373374976"",""+0718602024141"",""+0721955789619"",""+0725057477427"",""4035000001"",""+011502003518"",""5683783918"",""5714285714"",""2721723300"",""3101150200"",""3638106519""]","[""Sakartvelo, Tbilisi, Saburtalos Raioni, Vashlijvari, V. Goziashvilis K., N 27a, B. 6""]"
METTA LTD.,GÜRCİSTAN,3,"$31,607","[""info@metta.ge""]","[""https://www.metta.ge/""]","[""+995322880440"",""0322880440""]","[""55 Sairme St., Tbilisi, Georgia"",""5 I.gagarinis St, Tbilisi, Georgia""]"
